GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.nutritionists.createNutritionist,CreateNutritionistHandler,0,49,0,0,0,15,0,2,0,2
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.nutritionists.createNutritionist,CreateNutritionistCommand,0,15,0,0,0,1,0,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.mealplans.eventHandlers,AddMealPlanOnAppointmentAttended,0,19,0,0,0,7,0,2,0,2
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.appointments.events,AppointmentAttendedEvent,0,15,0,0,0,6,0,3,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel.converters,CellphoneConverter,0,19,0,4,0,3,0,5,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel.converters,AppointmentAttendanceConverter,0,17,0,4,0,3,0,5,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel.converters,MealScheduleConverter,0,17,0,4,0,3,0,5,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel.converters,WeightUnitMeasureConverter,0,26,0,4,0,3,0,5,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel.converters,EmailConverter,0,19,0,4,0,3,0,5,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel.converters,QuantityValueConverter,0,21,0,4,0,3,0,5,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel.converters,AppointmentTypeConverter,0,17,0,4,0,3,0,5,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel.converters,DecimalValueConverter,0,21,0,4,0,3,0,5,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel.converters,PercentageConverter,0,25,0,4,0,3,0,5,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel.converters,DiagnosisNutritionalStateConverter,0,17,0,4,0,3,0,5,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel.converters,HeightUnitMeasureConverter,0,26,0,4,0,3,0,5,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel.converters,AppointmentStatusConverter,0,17,0,4,0,3,0,5,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel.converters,NutritionistSpecialtyConverter,0,17,0,4,0,3,0,5,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.notAttendedAppointment,NotAttendedAppointmentCommand,0,6,0,0,0,1,0,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.notAttendedAppointment,NotAttendedAppointmentHandler,0,64,0,2,0,14,0,3,0,2
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.utils,MeasurementMapper,3,46,0,2,1,7,1,2,1,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.utils,MealPlanMapper,3,47,0,4,1,8,1,3,1,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.utils,DiagnosisMapper,3,23,0,2,1,3,1,2,1,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.config,UnitOfWorkJpa,58,14,4,0,15,5,6,1,4,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.appointments,AppointmentType,6,51,1,3,1,9,1,5,0,4
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.appointments,AppointmentAttendance,6,58,1,3,1,9,1,5,0,4
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.appointments,AppointmentErrors,30,0,0,0,4,0,4,0,4,0
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.appointments,UnitMeasureName,0,15,0,0,0,2,0,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.appointments,UnitMeasure,0,9,0,0,0,1,0,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.appointments,Percentage,5,11,1,1,1,3,1,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.appointments,Appointment,37,160,6,6,9,53,8,17,2,17
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.appointments,Measurement,0,44,0,0,0,14,0,7,0,7
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.appointments,AppointmentStatus,6,65,1,3,1,9,1,5,0,4
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.meal,MealSchedule,6,65,1,3,1,9,1,5,0,4
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.meal,Meal,5,25,1,1,1,9,1,4,0,4
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.meal,MealErrors,12,0,0,0,2,0,2,0,2,0
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.persistenceModel,AppointmentPersistenceModel,0,108,0,0,0,46,0,31,0,31
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.persistenceModel,NutritionistPersistenceModel,0,38,0,0,0,16,0,11,0,11
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.nutritionists.updateNutritionist,UpdateNutritionistCommand,0,18,0,0,0,1,0,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.nutritionists.updateNutritionist,UpdateNutritionistHandler,0,71,0,2,0,18,0,3,0,2
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.nutritionists.getNutritionistAppointmentsScheduledByDate,ScheduledAppointmentNutritionistDto,3,0,0,0,1,0,1,0,1,0
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.nutritionists.getNutritionistAppointmentsScheduledByDate,GetNutritionistAppointmentsScheduledByDateQuery,9,0,0,0,1,0,1,0,1,0
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.cancelAppointment,CancelAppointmentHandler,0,64,0,2,0,14,0,3,0,2
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.cancelAppointment,CancelAppointmentCommand,0,6,0,0,0,1,0,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.repositories,MealPlanJpaRepository,10,3,0,0,2,1,1,1,1,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.repositories,PatientJpaRepository,12,3,0,0,2,1,1,1,1,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.repositories,AppointmentJpaRepository,39,3,0,0,9,1,4,1,4,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.repositories,NutritionistJpaRepository,41,3,0,0,11,1,4,1,4,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.nutritionists,Nutritionist,0,68,0,6,0,22,0,9,0,6
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.nutritionists,NutritionistSpecialty,0,78,0,4,0,14,0,6,0,4
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.nutritionists,NutritionistErrors,3,27,0,0,1,3,1,3,1,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.webapi.controllers,AppointmentController,24,6,0,0,4,3,4,1,4,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.webapi.controllers,NutritionistController,34,6,0,0,6,3,5,1,5,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.core.results,ValidationError,41,0,2,0,9,0,5,0,4,0
nurtricenter-appointment,edu.nur.nurtricenter_appointment.core.results,Result,12,45,3,7,2,10,4,8,1,6
nurtricenter-appointment,edu.nur.nurtricenter_appointment.core.results,ResultWithValue,15,11,2,0,4,4,3,2,2,2
nurtricenter-appointment,edu.nur.nurtricenter_appointment.core.results,Error,49,89,7,5,9,22,8,9,3,8
nurtricenter-appointment,edu.nur.nurtricenter_appointment.core.results,DomainException,1,14,1,1,0,4,1,2,0,2
nurtricenter-appointment,edu.nur.nurtricenter_appointment.core.results,ErrorType,3,46,0,0,1,9,1,2,1,2
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.diagnosis,DiagnosisErrors,3,9,0,0,1,1,1,1,1,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.diagnosis,DiagnosisNutritionalState,0,71,0,4,0,10,0,6,0,4
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.diagnosis,Diagnosis,0,52,0,2,0,18,0,9,0,8
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.scheduleAppointment,ResponseAppointmentDto,0,54,0,0,0,22,0,4,0,4
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.scheduleAppointment,ScheduleAppointmentCommand,0,15,0,0,0,1,0,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.scheduleAppointment,ScheduleAppointmentDto,18,0,0,0,8,0,2,0,2,0
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.scheduleAppointment,ScheduleAppointmentHandler,26,128,1,7,3,28,1,5,0,2
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.queries.nutritionists,GetNutritionistsHandler,0,31,0,0,0,13,0,3,0,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel,PatientEntity,0,61,0,0,0,20,0,14,0,14
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel,MealEntity,28,32,0,0,12,10,8,4,8,4
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel,DiagnosisEntity,0,86,0,0,0,31,0,16,0,16
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel,AppointmentEntity,39,183,1,3,16,53,9,23,8,22
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel,MealPlanEntity,4,126,1,3,2,41,2,18,1,17
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel,MeasurementEntity,0,38,0,0,0,16,0,11,0,11
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.persistence.domainModel,NutritionistEntity,0,89,0,0,0,28,0,15,0,15
nurtricenter-appointment,edu.nur.nurtricenter_appointment,NurtricenterAppointmentApplication,5,29,0,0,2,6,1,3,1,3
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.attendAppointment,MealPlanDto,21,3,0,0,8,2,1,1,1,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.attendAppointment,AttendAppointmentCommand,0,18,0,0,0,1,0,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.attendAppointment,MealDto,12,3,0,0,5,2,1,1,1,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.attendAppointment,AttendAppointmentHandler,0,79,0,2,0,19,0,3,0,2
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.attendAppointment,MeasurementDto,18,3,0,0,7,2,1,1,1,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.appointments.attendAppointment,DiagnosisDto,21,3,0,0,8,2,1,1,1,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.patients,Cellphone,6,19,1,1,1,5,1,2,0,2
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.patients,Patient,0,34,0,0,0,12,0,6,0,6
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.patients,Email,6,19,1,1,1,5,1,2,0,2
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.nutritionists.getNutritionist,GetNutritionistsQuery,0,3,0,0,0,1,0,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.nutritionists.getNutritionist,NutritionistDto,3,18,0,0,2,7,1,1,1,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.mealplans,MealPlanErrors,3,36,0,0,1,4,1,4,1,4
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.mealplans,MealPlan,0,108,0,10,0,30,0,16,0,11
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.nutritionists.deleteNutritionist,DeleteNutritionistHandler,0,42,0,2,0,9,0,3,0,2
nurtricenter-appointment,edu.nur.nurtricenter_appointment.application.nutritionists.deleteNutritionist,DeleteNutritionistCommand,0,6,0,0,0,1,0,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.shared,QuantityValue,5,8,1,1,1,3,1,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.domain.shared,DecimalValue,5,10,1,1,1,3,1,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.infraestructure.queries.nutritionistAppointments,GetNutritionistAppointmentsScheduledByDate,82,9,4,0,15,4,3,1,1,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.core.abstractions,Entity,17,34,2,2,6,9,4,4,2,4
nurtricenter-appointment,edu.nur.nurtricenter_appointment.core.abstractions,AggregateRoot,0,4,0,0,0,2,0,1,0,1
nurtricenter-appointment,edu.nur.nurtricenter_appointment.core.abstractions,DomainEvent,6,9,0,0,2,4,2,1,2,1
